seed,controller,position_rmse_m,tail_position_rmse_m,horizontal_rmse_m,vertical_rmse_m,max_position_error_m,mean_control_effort,deformation_rms,max_abs_pitch_deg,success,plant_mass,plant_inertia,plant_stiffness,plant_damping,plant_mode_mass,plant_thrust_deformation_coupling,plant_deformation_pitch_coupling,plant_thrust_scale,plant_torque_scale,plant_drag_x,plant_drag_z,plant_angular_damping,plant_wind_bias_x,plant_wind_bias_z,plant_gust_amplitude,plant_gust_frequency,plant_gust_phase
2401,nominal,0.71813673,0.78611791,0.37132743,0.6146839,1.0201026,1.10753791,0.03376831,25.60209103,True,1.32028263,0.10520776,15.00104184,1.17303449,0.33660057,0.21767049,0.17385962,0.99699471,0.93304875,0.21507501,0.12678052,0.07156154,0.78245111,-0.299238,0.6686501,1.30838963,1.66904615
2401,online_residual,0.35798806,0.39559021,0.25408051,0.25218752,0.60498537,1.07103385,0.02266393,15.3148147,True,1.32028263,0.10520776,15.00104184,1.17303449,0.33660057,0.21767049,0.17385962,0.99699471,0.93304875,0.21507501,0.12678052,0.07156154,0.78245111,-0.299238,0.6686501,1.30838963,1.66904615
10320,nominal,0.32466419,0.26892374,0.28359751,0.15804837,0.7968815,1.05268463,0.02984685,15.59288704,True,1.69272943,0.10758263,8.61269822,1.80284553,0.32536656,0.20712344,0.07075888,1.00105083,1.03902918,0.20333289,0.2590387,0.11108386,-0.51035491,-0.34682548,0.73483457,1.10135238,-1.85992126
10320,online_residual,0.28346209,0.17823714,0.28064885,0.03983691,0.76232672,1.05947283,0.03700258,16.94975178,True,1.69272943,0.10758263,8.61269822,1.80284553,0.32536656,0.20712344,0.07075888,1.00105083,1.03902918,0.20333289,0.2590387,0.11108386,-0.51035491,-0.34682548,0.73483457,1.10135238,-1.85992126
18239,nominal,0.45110534,0.43786954,0.44188049,0.09076155,0.87999998,1.20562388,0.04706604,25.80406746,True,1.49160362,0.10667958,7.55424025,1.40467134,0.3009954,0.20082162,0.05011104,0.91287102,0.86850969,0.16439375,0.10889873,0.07831893,1.1092544,0.1226393,0.54513699,0.83676738,-0.2382352
18239,online_residual,0.23155464,0.17093888,0.22937421,0.03170212,0.48837891,1.20318628,0.04525648,23.71059724,True,1.49160362,0.10667958,7.55424025,1.40467134,0.3009954,0.20082162,0.05011104,0.91287102,0.86850969,0.16439375,0.10889873,0.07831893,1.1092544,0.1226393,0.54513699,0.83676738,-0.2382352
26158,nominal,0.74673917,0.75532734,0.34680359,0.6613219,0.93997854,1.04537684,0.0226531,15.47275675,True,1.93911818,0.09848253,15.6999105,1.75030785,0.36331319,0.21714138,0.14328028,0.99417303,1.12900309,0.17027352,0.24628758,0.03914689,1.19549745,-0.11107046,0.53411707,0.84887405,2.42782123
26158,online_residual,0.23184072,0.14553776,0.18122768,0.14459131,0.52806411,1.04691589,0.02409201,16.83645396,True,1.93911818,0.09848253,15.6999105,1.75030785,0.36331319,0.21714138,0.14328028,0.99417303,1.12900309,0.17027352,0.24628758,0.03914689,1.19549745,-0.11107046,0.53411707,0.84887405,2.42782123
34077,nominal,0.47256541,0.45764924,0.23868514,0.40785717,0.65715978,0.89717915,0.0534065,17.06748238,True,1.96083703,0.10392755,7.2309185,1.40927752,0.3345054,0.23921906,0.17835866,1.09229518,0.98810283,0.20559003,0.15308933,0.04557863,0.51517424,-0.52891655,0.3862673,1.3270865,-1.72481921
34077,online_residual,0.2348992,0.13781973,0.21983973,0.0827534,0.63218074,0.8985291,0.05675412,18.39594866,True,1.96083703,0.10392755,7.2309185,1.40927752,0.3345054,0.23921906,0.17835866,1.09229518,0.98810283,0.20559003,0.15308933,0.04557863,0.51517424,-0.52891655,0.3862673,1.3270865,-1.72481921
41996,nominal,0.65731877,0.70361702,0.19401815,0.62803258,0.71921897,1.0570892,0.02164128,15.90673711,True,1.31718913,0.07936454,13.87802321,1.86250331,0.4215055,0.18169701,0.1600482,1.0102678,0.89942849,0.21778625,0.2231707,0.12407798,0.58724767,-0.35018931,0.3773587,1.04362055,1.02431305
41996,online_residual,0.23723005,0.23884959,0.13423676,0.19559803,0.34569872,1.05350113,0.02077397,11.48991571,True,1.31718913,0.07936454,13.87802321,1.86250331,0.4215055,0.18169701,0.1600482,1.0102678,0.89942849,0.21778625,0.2231707,0.12407798,0.58724767,-0.35018931,0.3773587,1.04362055,1.02431305
49915,nominal,1.35780765,1.39788715,0.18527518,1.3451077,1.54038803,1.32044375,0.02386277,9.5255355,False,2.01054122,0.09293656,9.2660835,1.58486201,0.29741945,0.21000914,0.17549544,0.86316614,1.10695222,0.16636752,0.2685391,0.0732517,0.19259701,0.31500374,0.75139368,0.79759476,2.00903564
49915,online_residual,0.55192695,0.50752354,0.23020076,0.50162832,0.7916032,1.32608681,0.02633656,11.59207865,True,2.01054122,0.09293656,9.2660835,1.58486201,0.29741945,0.21000914,0.17549544,0.86316614,1.10695222,0.16636752,0.2685391,0.0732517,0.19259701,0.31500374,0.75139368,0.79759476,2.00903564
57834,nominal,0.78770658,0.79652671,0.27734599,0.73726579,0.97283644,0.99262402,0.01663287,14.89218878,True,2.02327367,0.09557164,13.82092334,2.32030396,0.29943834,0.25060496,0.07547473,1.00985836,1.14228419,0.23873191,0.18530818,0.03778097,-0.71822472,-0.01697671,0.4558784,0.50971968,-1.52821179
57834,online_residual,0.28908401,0.16537161,0.23470125,0.16877466,0.83574929,0.99573319,0.02028769,15.77975309,True,2.02327367,0.09557164,13.82092334,2.32030396,0.29943834,0.25060496,0.07547473,1.00985836,1.14228419,0.23873191,0.18530818,0.03778097,-0.71822472,-0.01697671,0.4558784,0.50971968,-1.52821179
65753,nominal,0.3819005,0.33432476,0.3499396,0.15293875,0.78480487,0.98032488,0.02606711,21.136205,True,1.75108636,0.09727536,12.58827198,1.66580524,0.41577041,0.22529421,0.05352011,1.01737037,1.14712974,0.08449557,0.17457906,0.07495963,1.07377969,0.04416585,0.73288016,1.06571293,-0.26225712
65753,online_residual,0.175058,0.1082695,0.16895139,0.0458337,0.4241053,0.9798515,0.02529892,20.63144588,True,1.75108636,0.09727536,12.58827198,1.66580524,0.41577041,0.22529421,0.05352011,1.01737037,1.14712974,0.08449557,0.17457906,0.07495963,1.07377969,0.04416585,0.73288016,1.06571293,-0.26225712
73672,nominal,0.40330423,0.38863384,0.31093189,0.25685728,0.67837337,0.90633418,0.02825873,12.83791241,True,1.87185745,0.10529211,9.34383587,2.11186289,0.3303449,0.10146957,0.08848359,1.06468744,1.07677689,0.1231417,0.1626403,0.09093182,-0.93406688,-0.09769199,0.52382882,1.11851002,0.17418256
73672,online_residual,0.22214937,0.1082963,0.21544907,0.05414831,0.65869764,0.90758962,0.03022201,13.41725657,True,1.87185745,0.10529211,9.34383587,2.11186289,0.3303449,0.10146957,0.08848359,1.06468744,1.07677689,0.1231417,0.1626403,0.09093182,-0.93406688,-0.09769199,0.52382882,1.11851002,0.17418256
81591,nominal,0.66114735,0.71340698,0.33923419,0.56748214,0.83687726,0.91592495,0.01714139,13.04330252,True,1.44411374,0.06716038,14.67230306,2.1928819,0.30190362,0.22588476,0.1550102,1.06650107,0.95474543,0.16071565,0.18195905,0.08653808,-0.96088513,-0.11425166,0.93921729,0.54929027,2.06215874
81591,online_residual,0.23427578,0.18296091,0.18820517,0.13951328,0.58903165,0.91363931,0.01584508,14.04526308,True,1.44411374,0.06716038,14.67230306,2.1928819,0.30190362,0.22588476,0.1550102,1.06650107,0.95474543,0.16071565,0.18195905,0.08653808,-0.96088513,-0.11425166,0.93921729,0.54929027,2.06215874
89510,nominal,0.29600175,0.29233061,0.22144603,0.19641459,0.54509697,0.90907824,0.02858595,18.20116673,True,1.64175822,0.10402279,12.72020044,1.41962688,0.33690121,0.21449167,0.08422989,1.08905124,1.05308681,0.10487827,0.15199631,0.06519358,0.64689627,-0.45365224,0.42901378,1.13017567,0.56426469
89510,online_residual,0.12104561,0.06209232,0.11791203,0.02736407,0.35680381,0.90608505,0.02652285,14.87077352,True,1.64175822,0.10402279,12.72020044,1.41962688,0.33690121,0.21449167,0.08422989,1.08905124,1.05308681,0.10487827,0.15199631,0.06519358,0.64689627,-0.45365224,0.42901378,1.13017567,0.56426469
